STATION,STATION_NAME,DATE,TPCP,TSNW,MMXT,MMNT
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20091001,2096,8,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20091101,845,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20091201,1574,583,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20100101,996,208,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20100201,1142,198,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20100301,4409,46,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20100401,530,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20100501,926,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20100601,887,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20100701,1192,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20100801,1161,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20100901,529,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20101001,1093,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20101101,1054,8,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20101201,1139,596,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20110101,2135,911,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20110201,1279,330,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20110301,636,28,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20110401,1503,71,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20110501,796,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20110601,990,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20110701,895,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20110801,2409,0,-9999,-9999
